checkEnvironment;checkPhysical;ppd;checkEmotion;room;hour;minute;humidity;luminosity;temperature;pmv;emotion
0.0;1.0;5.244543422197566;1.0;17.0;13.0;50.0;27.4453176539683;749.996730253214;25.7080158730159;0.10866087296547555;3.0
1.0;1.0;10.79830250960687;0.0;18.0;13.0;50.0;31.6020129879518;580.982989553615;23.4634939759036;-0.5264918484690466;4.0
1.0;0.0;32.559135591692566;0.0;19.0;13.0;50.0;35.3442040048193;205.304249225663;21.2825301204819;-1.1440319431365344;1.0
0.0;1.0;5.1779871560334385;0.0;20.0;13.0;50.0;27.4940636857143;447.909037278333;25.6528571428571;0.09270869958190489;4.0
1.0;1.0;11.484890220623257;0.0;21.0;13.0;50.0;30.7199691373494;1163.75842731566;23.3828915662651;-0.5565219934915061;4.0
0.0;0.0;99.80540286321526;1.0;22.0;13.0;50.0;76.1776474666667;870.033546744444;13.3088888888889;-3.274401708262254;3.0
1.0;0.0;31.488802208854537;0.0;1.0;14.0;0.0;36.9540634772727;604.456121272841;21.3270454545455;-1.1211606230615898;4.0
1.0;1.0;8.514794981293164;0.0;3.0;14.0;0.0;30.2868951954023;394.930784737586;23.8867816091954;-0.4106547970902876;4.0
1.0;1.0;16.49052335621107;0.0;4.0;14.0;0.0;32.6383192229885;326.923940374253;22.7212643678161;-0.7387786490313576;4.0
0.0;1.0;5.432288297045488;0.0;5.0;14.0;0.0;29.7644055121127;729.70323160338;24.7968169014085;-0.1444425973348233;4.0
0.0;1.0;5.000185528476564;1.0;6.0;14.0;0.0;28.3363959541333;180.257161460488;25.3305066666667;0.002993744852487634;2.0
0.0;1.0;25.523161192631406;0.0;7.0;14.0;0.0;41.3064204982456;38.8162177908772;21.6971929824561;-0.9857416680524218;1.0
1.0;1.0;13.67243858587294;0.0;8.0;14.0;0.0;32.017833105618;811.801867510112;23.0597752808989;-0.6427017566012696;4.0
0.0;1.0;20.250116698185536;0.0;9.0;14.0;0.0;33.3841714863636;48.2905994773864;22.3259090909091;-0.8501015686569428;1.0
1.0;0.0;38.655019834339925;0.0;10.0;14.0;0.0;38.6679421168539;163.646226516517;20.7913483146067;-1.2684119338733697;1.0
1.0;1.0;13.703105821776532;0.0;11.0;14.0;0.0;31.4478434057143;195.748465403029;23.0693714285714;-0.6438260216807847;1.0
0.0;1.0;10.961976212448846;1.0;12.0;14.0;0.0;26.2609350631579;154.939809241692;27.1628195488722;0.5338080922265047;3.0
0.0;1.0;5.189435147701516;0.0;13.0;14.0;0.0;28.3189201142857;775.887625559943;24.9977714285714;-0.09564254048376955;4.0
0.0;0.0;34.377410250979764;1.0;14.0;14.0;0.0;21.5133868898876;7.41508569661798;29.4637078651685;1.1821011501365117;3.0
0.0;1.0;5.007959183912703;0.0;15.0;14.0;0.0;28.136180594621;712.583583837971;25.3908068459658;0.0196083071894057;4.0
0.0;1.0;10.038925333926542;1.0;16.0;14.0;0.0;25.0870361393258;24.8598248774831;27.0543820224719;0.49108484306485795;3.0
0.0;1.0;5.572613847602696;1.0;17.0;14.0;0.0;27.4922380586466;756.629427568985;25.899962406015;0.1662169739292883;3.0
1.0;1.0;10.293531255765473;0.0;18.0;14.0;0.0;31.8798866590909;581.654635339659;23.5354545454545;-0.5032410681961882;4.0
1.0;0.0;31.120570633357445;0.0;19.0;14.0;0.0;35.5371489727273;205.86360584875;21.3832954545455;-1.1132061534822943;1.0
0.0;1.0;5.44091764985825;0.0;20.0;14.0;0.0;27.6108523910112;450.820065623708;25.8283146067416;0.14587582785984834;4.0
1.0;1.0;10.287066878149375;0.0;21.0;14.0;0.0;30.6748456179775;1183.49911124607;23.5642696629213;-0.5029361522265494;4.0
0.0;0.0;99.79223859501896;1.0;22.0;14.0;0.0;76.0399101866667;889.33308919;13.3473333333333;-3.2636886000094933;3.0
1.0;0.0;30.2827700432062;0.0;1.0;14.0;10.0;36.9390326681319;642.462091130769;21.4165934065934;-1.0949343042900574;4.0
0.0;1.0;7.3367977583153845;0.0;3.0;14.0;10.0;30.0767029777778;413.428412550333;24.1468888888889;-0.3351941576868733;4.0
1.0;1.0;16.085755311562096;0.0;4.0;14.0;10.0;32.7757483644444;338.999430340778;22.7617777777778;-0.7257734490423313;4.0
0.0;1.0;5.127789777460421;0.0;5.0;14.0;10.0;29.566301153719;807.549342644077;25.0240771349862;-0.07855930806961975;4.0
0.0;1.0;5.284660171795437;1.0;6.0;14.0;10.0;27.9540343714286;183.047080528844;25.7242346938776;0.11723032011538903;3.0
0.0;1.0;23.87968555360331;0.0;7.0;14.0;10.0;41.2227206466667;43.1060791016667;21.8348333333333;-0.9454409985727539;1.0
1.0;1.0;13.090089617555591;0.0;8.0;14.0;10.0;31.982907;893.232557486667;23.1357777777778;-0.6209573922177777;4.0
0.0;1.0;18.048834246957384;0.0;9.0;14.0;10.0;33.2017120307692;51.1420952106593;22.5449450549451;-0.7868289118708907;1.0
1.0;0.0;38.11667174336389;0.0;10.0;14.0;10.0;38.7552516263736;173.673524959451;20.8249450549451;-1.257765932494759;1.0
1.0;1.0;12.107218834527245;0.0;11.0;14.0;10.0;31.3643624307692;213.518247501813;23.2791208791209;-0.5823719971444806;1.0
0.0;1.0;12.006863525311473;1.0;12.0;14.0;10.0;26.1370050080586;157.576340896117;27.314652014652;0.5782836444116053;2.0
0.0;1.0;5.041132147074805;0.0;13.0;14.0;10.0;28.261320643956;847.156231222692;25.1718131868132;-0.044573928444718344;4.0
0.0;0.0;35.17587965125446;1.0;14.0;14.0;10.0;21.5251373714286;7.62939453179121;29.518021978022;1.198534863048919;3.0
0.0;1.0;5.162843876034557;0.0;15.0;14.0;10.0;27.9515351574468;780.110099919149;25.6274231678487;0.08867862183674659;4.0
0.0;1.0;10.750708833873858;1.0;16.0;14.0;10.0;25.105580443956;25.822566105967;27.1648351648352;0.52434474072878;2.0
0.0;1.0;5.845307240837329;1.0;17.0;14.0;10.0;27.4532494735294;777.188469385404;26.0207720588235;0.20189649604885898;3.0
1.0;1.0;10.21869809706007;0.0;18.0;14.0;10.0;32.0370896133333;608.995225681556;23.5436666666667;-0.4996996063220924;4.0
1.0;0.0;30.963933033783135;0.0;19.0;14.0;10.0;35.6833742088889;217.013888891889;21.392;-1.1098086019812339;1.0
0.0;1.0;5.5915516273457655;0.0;20.0;14.0;10.0;27.5844869582418;471.764868439451;25.9071428571429;0.16893987449475156;4.0
1.0;1.0;9.96534922133931;0.0;21.0;14.0;10.0;30.5961800923077;1241.07612361209;23.6187912087912;-0.4875140305890662;4.0
0.0;0.0;99.77905823798662;1.0;22.0;14.0;10.0;75.8231991466667;918.833414706667;13.3843333333333;-3.2535401561021686;3.0
1.0;0.0;29.191184027615094;0.0;1.0;14.0;20.0;36.8206461377778;725.809733084444;21.5017777777778;-1.0707428245378878;4.0
0.0;1.0;7.450991204571395;0.0;3.0;14.0;20.0;30.1033892222222;425.762600376889;24.1186666666667;-0.3432500587648174;4.0
1.0;1.0;15.162675022294678;0.0;4.0;14.0;20.0;32.5452968622222;359.005398223444;22.8706666666667;-0.6951929933413111;4.0
0.0;1.0;5.102454135897361;0.0;5.0;14.0;20.0;29.5849729950413;928.642336017355;25.0520110192837;-0.07034386004246046;4.0
0.0;1.0;5.741644542424737;1.0;6.0;14.0;20.0;27.4951008510204;184.681950786112;25.9770408163265;0.1891323781165433;3.0
0.0;1.0;22.77657045975046;0.0;7.0;14.0;20.0;40.9788455266667;51.3712565093333;21.9336666666667;-0.9174677867190744;1.0
1.0;1.0;12.723139210494352;0.0;8.0;14.0;20.0;31.9738025555556;994.322035034444;23.1828888888889;-0.6068459216786494;4.0
0.0;1.0;17.156163424221532;0.0;9.0;14.0;20.0;33.0022203022222;55.3131103524444;22.6421111111111;-0.7596773271747143;1.0
